LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e1d917,"<sprite tint=1 name=""LeftArrow""> Weißküstenweg","<sprite tint=1 name=""LeftArrow""> White Coast Trail","<sprite tint=1 name=""LeftArrow""> White Coast Trail",Original,HomeSignStart
line:8e78cb,"Rangerhütte <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>",Original,HomeSignStart
line:2a55e5,"entschuldige, wie spät ist es?",excuse me do you have the time?,excuse me do you have the time?,Original,GoatStart
line:b03acc,"uhh, lass' mich nachschau-","um yeah, let me chec-","um yeah, let me chec-",Player,GoatStart
line:445422,"schau... normalerweise weiß ich,\nwie spät es ist",see... normally i would know the time,see... normally i would know the time,Original,GoatStart
line:e86981,ich habe gerade\nmeine Uhr verloren,i just lost my watch,i just lost my watch,Original,GoatStart
line:b74c71,"oh, ähm","oh, um","oh, um",Player,GoatStart
line:78b6fa,tut mir leid für dich,sorry,sorry,Player,GoatStart
line:a60085,sie war sehr teuer,it was very expensive,it was very expensive,Original,GoatStart
line:ba52fa,"und unbezahlbar, wenn du\nden sentimentalen Wert\nberücksichtigst",and priceless when you\nconsider the sentimental value,and priceless when you\nconsider the sentimental value,Original,GoatStart
line:3407a1,ich verstehe,i see,i see,Player,GoatStart
line:0d0268,"fallst du sie findest,\nkannst du sie mir zurückbringen?","if you find it, can you\nbring it back to me?","if you find it, can you\nbring it back to me?",Original,GoatStart
line:aa6cf0,aber sicher doch,sure,sure,Player,GoatStart
line:e4e4ee,"bitte verkaufe sie nicht\nim Internet, oder so etwas",please don't sell it on\nthe Internet or whatever,please don't sell it on\nthe Internet or whatever,Original,GoatStart
line:b427c9,sie ist sehr wertvoll für mich,it's very valuable to me,it's very valuable to me,Original,GoatStart
line:deb271,"nein, keine Sorge","no, don't worry","no, don't worry",Player,GoatStart
line:6a5e2f,ich werde sie sofort\nzu dir zurückbringen,i'll bring it right back,i'll bring it right back,Player,GoatStart
line:0c1b44,okay,ok,ok,Original,GoatStart
